entity,coupled,degree,average-revs
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,100,6
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,92,7
hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,92,7
hibernate-envers/src/matrix/java/org/hibernate/envers/test/integration/strategy/ValidityAuditStrategyRevEndTestCustomRevEnt.java,hibernate-envers/src/matrix/java/org/hibernate/envers/test/integration/strategy/ValidityAuditStrategyRevEndTsTest.java,83,6
hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,hibernate-core/src/main/java/org/hibernate/engine/spi/PersistenceContext.java,64,13
hibernate-entitymanager/hibernate-entitymanager.gradle,hibernate-envers/hibernate-envers.gradle,62,8
hibernate-core/src/main/java/org/hibernate/engine/spi/EntityEntry.java,hibernate-core/src/main/java/org/hibernate/engine/spi/PersistenceContext.java,58,9
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,50,12
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,50,12
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,48,13
hibernate-core/src/main/java/org/hibernate/mapping/Table.java,hibernate-core/src/main/java/org/hibernate/metamodel/relational/Table.java,48,13
hibernate-core/hibernate-core.gradle,hibernate-envers/hibernate-envers.gradle,47,11
hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,hibernate-core/src/main/java/org/hibernate/engine/spi/EntityEntry.java,46,13
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,hibernate-core/src/main/java/org/hibernate/dialect/Oracle8iDialect.java,41,17
hibernate-core/src/main/java/org/hibernate/mapping/Table.java,hibernate-core/src/main/java/org/hibernate/mapping/UniqueKey.java,41,12
hibernate-core/src/main/java/org/hibernate/cfg/Configuration.java,hibernate-core/src/main/java/org/hibernate/mapping/Table.java,40,20
hibernate-core/src/main/java/org/hibernate/dialect/unique/DefaultUniqueDelegate.java,hibernate-core/src/main/java/org/hibernate/mapping/Table.java,40,13
build.gradle,hibernate-core/hibernate-core.gradle,38,24
hibernate-core/src/main/java/org/hibernate/Session.java,hibernate-core/src/main/java/org/hibernate/internal/SessionImpl.java,37,14
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,hibernate-core/src/main/java/org/hibernate/loader/Loader.java,35,17
